2018  1940 
 -1.150000E+000 -3.000000E-001 2.000000E-001
 -3.000000E-001 -3.000000E-001 2.000000E-001
 -1.100000E+000 -3.000000E-001 2.000000E-001
 -1.050000E+000 -3.000000E-001 2.000000E-001
 -1.000000E+000 -3.000000E-001 2.000000E-001
 -9.500000E-001 -3.000000E-001 2.000000E-001
 -9.000000E-001 -3.000000E-001 2.000000E-001
 -8.500000E-001 -3.000000E-001 2.000000E-001
 -8.000000E-001 -3.000000E-001 2.000000E-001
 -7.500000E-001 -3.000000E-001 2.000000E-001
 -7.000000E-001 -3.000000E-001 2.000000E-001
 -6.500000E-001 -3.000000E-001 2.000000E-001
 -6.000000E-001 -3.000000E-001 2.000000E-001
 -5.500000E-001 -3.000000E-001 2.000000E-001
 -5.000000E-001 -3.000000E-001 2.000000E-001
 -4.500000E-001 -3.000000E-001 2.000000E-001
 -4.000000E-001 -3.000000E-001 2.000000E-001
 -3.500000E-001 -3.000000E-001 2.000000E-001
 -3.000000E-001 -3.000000E-001 1.200000E+000
 -3.000000E-001 -3.000000E-001 2.500000E-001
 -3.000000E-001 -3.000000E-001 3.000000E-001
 -3.000000E-001 -3.000000E-001 3.500000E-001
 -3.000000E-001 -3.000000E-001 4.000000E-001
 -3.000000E-001 -3.000000E-001 4.500000E-001
 -3.000000E-001 -3.000000E-001 5.000000E-001
 -3.000000E-001 -3.000000E-001 5.500000E-001
 -3.000000E-001 -3.000000E-001 6.000000E-001
 -3.000000E-001 -3.000000E-001 6.500000E-001
 -3.000000E-001 -3.000000E-001 7.000000E-001
 -3.000000E-001 -3.000000E-001 7.500000E-001
 -3.000000E-001 -3.000000E-001 8.000000E-001
 -3.000000E-001 -3.000000E-001 8.500000E-001
 -3.000000E-001 -3.000000E-001 9.000000E-001
 -3.000000E-001 -3.000000E-001 9.500000E-001
 -3.000000E-001 -3.000000E-001 1.000000E+000
 -3.000000E-001 -3.000000E-001 1.050000E+000
 -3.000000E-001 -3.000000E-001 1.100000E+000
 -3.000000E-001 -3.000000E-001 1.150000E+000
 -1.150000E+000 -3.000000E-001 1.200000E+000
 -3.500000E-001 -3.000000E-001 1.200000E+000
 -4.000000E-001 -3.000000E-001 1.200000E+000
 -4.500000E-001 -3.000000E-001 1.200000E+000
 -5.000000E-001 -3.000000E-001 1.200000E+000
 -5.500000E-001 -3.000000E-001 1.200000E+000
 -6.000000E-001 -3.000000E-001 1.200000E+000
 -6.500000E-001 -3.000000E-001 1.200000E+000
 -7.000000E-001 -3.000000E-001 1.200000E+000
 -7.500000E-001 -3.000000E-001 1.200000E+000
 -8.000000E-001 -3.000000E-001 1.200000E+000
 -8.500000E-001 -3.000000E-001 1.200000E+000
 -9.000000E-001 -3.000000E-001 1.200000E+000
 -9.500000E-001 -3.000000E-001 1.200000E+000
 -1.000000E+000 -3.000000E-001 1.200000E+000
 -1.050000E+000 -3.000000E-001 1.200000E+000
 -1.100000E+000 -3.000000E-001 1.200000E+000
 -1.150000E+000 -3.000000E-001 1.150000E+000
 -1.150000E+000 -3.000000E-001 1.100000E+000
 -1.150000E+000 -3.000000E-001 1.050000E+000
 -1.150000E+000 -3.000000E-001 1.000000E+000
 -1.150000E+000 -3.000000E-001 9.500000E-001
 -1.150000E+000 -3.000000E-001 9.000000E-001
 -1.150000E+000 -3.000000E-001 8.500000E-001
 -1.150000E+000 -3.000000E-001 8.000000E-001
 -1.150000E+000 -3.000000E-001 7.500000E-001
 -1.150000E+000 -3.000000E-001 7.000000E-001
 -1.150000E+000 -3.000000E-001 6.500000E-001
 -1.150000E+000 -3.000000E-001 6.000000E-001
 -1.150000E+000 -3.000000E-001 5.500000E-001
 -1.150000E+000 -3.000000E-001 5.000000E-001
 -1.150000E+000 -3.000000E-001 4.500000E-001
 -1.150000E+000 -3.000000E-001 4.000000E-001
 -1.150000E+000 -3.000000E-001 3.500000E-001
 -1.150000E+000 -3.000000E-001 3.000000E-001
 -1.150000E+000 -3.000000E-001 2.500000E-001
 -1.100000E+000 -3.000000E-001 1.150000E+000
 -1.050000E+000 -3.000000E-001 1.150000E+000
 -1.000000E+000 -3.000000E-001 1.150000E+000
 -9.500000E-001 -3.000000E-001 1.150000E+000
 -9.000000E-001 -3.000000E-001 1.150000E+000
 -8.500000E-001 -3.000000E-001 1.150000E+000
 -8.000000E-001 -3.000000E-001 1.150000E+000
 -7.500000E-001 -3.000000E-001 1.150000E+000
 -7.000000E-001 -3.000000E-001 1.150000E+000
 -6.500000E-001 -3.000000E-001 1.150000E+000
 -6.000000E-001 -3.000000E-001 1.150000E+000
 -5.500000E-001 -3.000000E-001 1.150000E+000
 -5.000000E-001 -3.000000E-001 1.150000E+000
 -4.500000E-001 -3.000000E-001 1.150000E+000
 -4.000000E-001 -3.000000E-001 1.150000E+000
 -3.500000E-001 -3.000000E-001 1.150000E+000
 -1.100000E+000 -3.000000E-001 1.100000E+000
 -1.050000E+000 -3.000000E-001 1.100000E+000
 -1.000000E+000 -3.000000E-001 1.100000E+000
 -9.500000E-001 -3.000000E-001 1.100000E+000
 -9.000000E-001 -3.000000E-001 1.100000E+000
 -8.500000E-001 -3.000000E-001 1.100000E+000
 -8.000000E-001 -3.000000E-001 1.100000E+000
 -7.500000E-001 -3.000000E-001 1.100000E+000
 -7.000000E-001 -3.000000E-001 1.100000E+000
 -6.500000E-001 -3.000000E-001 1.100000E+000
 -6.000000E-001 -3.000000E-001 1.100000E+000
 -5.500000E-001 -3.000000E-001 1.100000E+000
 -5.000000E-001 -3.000000E-001 1.100000E+000
 -4.500000E-001 -3.000000E-001 1.100000E+000
 -4.000000E-001 -3.000000E-001 1.100000E+000
 -3.500000E-001 -3.000000E-001 1.100000E+000
 -1.100000E+000 -3.000000E-001 1.050000E+000
 -1.050000E+000 -3.000000E-001 1.050000E+000
 -1.000000E+000 -3.000000E-001 1.050000E+000
 -9.500000E-001 -3.000000E-001 1.050000E+000
 -9.000000E-001 -3.000000E-001 1.050000E+000
 -8.500000E-001 -3.000000E-001 1.050000E+000
 -8.000000E-001 -3.000000E-001 1.050000E+000
 -7.500000E-001 -3.000000E-001 1.050000E+000
 -7.000000E-001 -3.000000E-001 1.050000E+000
 -6.500000E-001 -3.000000E-001 1.050000E+000
 -6.000000E-001 -3.000000E-001 1.050000E+000
 -5.500000E-001 -3.000000E-001 1.050000E+000
 -5.000000E-001 -3.000000E-001 1.050000E+000
 -4.500000E-001 -3.000000E-001 1.050000E+000
 -4.000000E-001 -3.000000E-001 1.050000E+000
 -3.500000E-001 -3.000000E-001 1.050000E+000
 -1.100000E+000 -3.000000E-001 1.000000E+000
 -1.050000E+000 -3.000000E-001 1.000000E+000
 -1.000000E+000 -3.000000E-001 1.000000E+000
 -9.500000E-001 -3.000000E-001 1.000000E+000
 -9.000000E-001 -3.000000E-001 1.000000E+000
 -8.500000E-001 -3.000000E-001 1.000000E+000
 -8.000000E-001 -3.000000E-001 1.000000E+000
 -7.500000E-001 -3.000000E-001 1.000000E+000
 -7.000000E-001 -3.000000E-001 1.000000E+000
 -6.500000E-001 -3.000000E-001 1.000000E+000
 -6.000000E-001 -3.000000E-001 1.000000E+000
 -5.500000E-001 -3.000000E-001 1.000000E+000
 -5.000000E-001 -3.000000E-001 1.000000E+000
 -4.500000E-001 -3.000000E-001 1.000000E+000
 -4.000000E-001 -3.000000E-001 1.000000E+000
 -3.500000E-001 -3.000000E-001 1.000000E+000
 -1.100000E+000 -3.000000E-001 9.500000E-001
 -1.050000E+000 -3.000000E-001 9.500000E-001
 -1.000000E+000 -3.000000E-001 9.500000E-001
 -9.500000E-001 -3.000000E-001 9.500000E-001
 -9.000000E-001 -3.000000E-001 9.500000E-001
 -8.500000E-001 -3.000000E-001 9.500000E-001
 -8.000000E-001 -3.000000E-001 9.500000E-001
 -7.500000E-001 -3.000000E-001 9.500000E-001
