1573  1490 
 -1.000000E+000 2.000000E-001 0.000000E+000
 -1.150000E+000 3.000000E-001 2.000000E-001
 -1.030000E+000 2.200000E-001 4.000000E-002
 -1.060000E+000 2.400000E-001 8.000000E-002
 -1.090000E+000 2.600000E-001 1.200000E-001
 -1.120000E+000 2.800000E-001 1.600000E-001
 -1.150000E+000 -3.000000E-001 2.000000E-001
 -1.150000E+000 -2.500000E-001 2.000000E-001
 -1.150000E+000 -2.000000E-001 2.000000E-001
 -1.150000E+000 -1.500000E-001 2.000000E-001
 -1.150000E+000 -1.000000E-001 2.000000E-001
 -1.150000E+000 -5.000000E-002 2.000000E-001
 -1.150000E+000 0.000000E+000 2.000000E-001
 -1.150000E+000 5.000000E-002 2.000000E-001
 -1.150000E+000 1.000000E-001 2.000000E-001
 -1.150000E+000 1.500000E-001 2.000000E-001
 -1.150000E+000 2.000000E-001 2.000000E-001
 -1.150000E+000 2.500000E-001 2.000000E-001
 -1.000000E+000 -2.000000E-001 0.000000E+000
 -1.030000E+000 -2.200000E-001 4.000000E-002
 -1.060000E+000 -2.400000E-001 8.000000E-002
 -1.090000E+000 -2.600000E-001 1.200000E-001
 -1.120000E+000 -2.800000E-001 1.600000E-001
 -1.000000E+000 1.666667E-001 0.000000E+000
 -1.000000E+000 1.333333E-001 0.000000E+000
 -1.000000E+000 1.000000E-001 0.000000E+000
 -1.000000E+000 6.666667E-002 0.000000E+000
 -1.000000E+000 3.333334E-002 0.000000E+000
 -1.000000E+000 0.000000E+000 0.000000E+000
 -1.000000E+000 -3.333334E-002 0.000000E+000
 -1.000000E+000 -6.666667E-002 0.000000E+000
 -1.000000E+000 -1.000000E-001 0.000000E+000
 -1.000000E+000 -1.333333E-001 0.000000E+000
 -1.000000E+000 -1.666667E-001 0.000000E+000
 -1.030000E+000 -1.833333E-001 4.000000E-002
 -1.060000E+000 -2.000000E-001 8.000000E-002
 -1.090000E+000 -2.166667E-001 1.200000E-001
 -1.120000E+000 -2.333333E-001 1.600000E-001
 -1.030000E+000 -1.466667E-001 4.000000E-002
 -1.060000E+000 -1.600000E-001 8.000000E-002
 -1.090000E+000 -1.733333E-001 1.200000E-001
 -1.120000E+000 -1.866667E-001 1.600000E-001
 -1.030000E+000 -1.100000E-001 4.000000E-002
 -1.060000E+000 -1.200000E-001 8.000000E-002
 -1.090000E+000 -1.300000E-001 1.200000E-001
 -1.120000E+000 -1.400000E-001 1.600000E-001
 -1.030000E+000 -7.333333E-002 4.000000E-002
 -1.060000E+000 -8.000000E-002 8.000000E-002
 -1.090000E+000 -8.666667E-002 1.200000E-001
 -1.120000E+000 -9.333333E-002 1.600000E-001
 -1.030000E+000 -3.666667E-002 4.000000E-002
 -1.060000E+000 -4.000000E-002 8.000000E-002
 -1.090000E+000 -4.333333E-002 1.200000E-001
 -1.120000E+000 -4.666667E-002 1.600000E-001
 -1.030000E+000 6.938894E-018 4.000000E-002
 -1.060000E+000 4.437302E-034 8.000000E-002
 -1.090000E+000 2.021437E-034 1.200000E-001
 -1.120000E+000 4.042875E-034 1.600000E-001
 -1.030000E+000 3.666667E-002 4.000000E-002
 -1.060000E+000 4.000000E-002 8.000000E-002
 -1.090000E+000 4.333333E-002 1.200000E-001
 -1.120000E+000 4.666667E-002 1.600000E-001
 -1.030000E+000 7.333333E-002 4.000000E-002
 -1.060000E+000 8.000000E-002 8.000000E-002
 -1.090000E+000 8.666667E-002 1.200000E-001
 -1.120000E+000 9.333333E-002 1.600000E-001
 -1.030000E+000 1.100000E-001 4.000000E-002
 -1.060000E+000 1.200000E-001 8.000000E-002
 -1.090000E+000 1.300000E-001 1.200000E-001
 -1.120000E+000 1.400000E-001 1.600000E-001
 -1.030000E+000 1.466667E-001 4.000000E-002
 -1.060000E+000 1.600000E-001 8.000000E-002
 -1.090000E+000 1.733333E-001 1.200000E-001
 -1.120000E+000 1.866667E-001 1.600000E-001
 -1.030000E+000 1.833333E-001 4.000000E-002
 -1.060000E+000 2.000000E-001 8.000000E-002
 -1.090000E+000 2.166667E-001 1.200000E-001
 -1.120000E+000 2.333333E-001 1.600000E-001
 2.000000E+000 -2.000000E-001 0.000000E+000
 2.000000E+000 2.000000E-001 0.000000E+000
 2.000000E+000 -1.666667E-001 0.000000E+000
 2.000000E+000 -1.333333E-001 0.000000E+000
 2.000000E+000 -1.000000E-001 0.000000E+000
 2.000000E+000 -6.666667E-002 0.000000E+000
 2.000000E+000 -3.333334E-002 0.000000E+000
 2.000000E+000 0.000000E+000 0.000000E+000
 2.000000E+000 3.333334E-002 0.000000E+000
 2.000000E+000 6.666667E-002 0.000000E+000
 2.000000E+000 1.000000E-001 0.000000E+000
 2.000000E+000 1.333333E-001 0.000000E+000
 2.000000E+000 1.666667E-001 0.000000E+000
 2.100000E+000 3.000000E-001 2.000000E-001
 2.020000E+000 2.200000E-001 4.000000E-002
 2.040000E+000 2.400000E-001 8.000000E-002
 2.060000E+000 2.600000E-001 1.200000E-001
 2.080000E+000 2.800000E-001 1.600000E-001
 2.100000E+000 -3.000000E-001 2.000000E-001
 2.020000E+000 -2.200000E-001 4.000000E-002
 2.040000E+000 -2.400000E-001 8.000000E-002
 2.060000E+000 -2.600000E-001 1.200000E-001
 2.080000E+000 -2.800000E-001 1.600000E-001
 -9.538462E-001 -2.000000E-001 0.000000E+000
 -9.076923E-001 -2.000000E-001 0.000000E+000
 -8.615385E-001 -2.000000E-001 0.000000E+000
 -8.153846E-001 -2.000000E-001 0.000000E+000
 -7.692308E-001 -2.000000E-001 0.000000E+000
 -7.230769E-001 -2.000000E-001 0.000000E+000
 -6.769231E-001 -2.000000E-001 0.000000E+000
 -6.307693E-001 -2.000000E-001 0.000000E+000
 -5.846154E-001 -2.000000E-001 0.000000E+000
 -5.384616E-001 -2.000000E-001 0.000000E+000
 -4.923077E-001 -2.000000E-001 0.000000E+000
 -4.461538E-001 -2.000000E-001 0.000000E+000
 -4.000000E-001 -2.000000E-001 0.000000E+000
 -3.538462E-001 -2.000000E-001 0.000000E+000
 -3.076923E-001 -2.000000E-001 0.000000E+000
 -2.615385E-001 -2.000000E-001 0.000000E+000
 -2.153846E-001 -2.000000E-001 0.000000E+000
 -1.692308E-001 -2.000000E-001 0.000000E+000
 -1.230769E-001 -2.000000E-001 0.000000E+000
 -7.692308E-002 -2.000000E-001 0.000000E+000
 -3.076923E-002 -2.000000E-001 0.000000E+000
 1.538462E-002 -2.000000E-001 0.000000E+000
 6.153846E-002 -2.000000E-001 0.000000E+000
 1.076923E-001 -2.000000E-001 0.000000E+000
 1.538462E-001 -2.000000E-001 0.000000E+000
 2.000000E-001 -2.000000E-001 0.000000E+000
 2.461538E-001 -2.000000E-001 0.000000E+000
 2.923077E-001 -2.000000E-001 0.000000E+000
 3.384615E-001 -2.000000E-001 0.000000E+000
 3.846154E-001 -2.000000E-001 0.000000E+000
 4.307692E-001 -2.000000E-001 0.000000E+000
 4.769231E-001 -2.000000E-001 0.000000E+000
 5.230770E-001 -2.000000E-001 0.000000E+000
 5.692308E-001 -2.000000E-001 0.000000E+000
 6.153846E-001 -2.000000E-001 0.000000E+000
 6.615385E-001 -2.000000E-001 0.000000E+000
 7.076923E-001 -2.000000E-001 0.000000E+000
